,10
run_id,88eb0aefb4224b21a1cb61e32412a1cb
experiment_id,273469853540485859
status,FINISHED
artifact_uri,/workspaces/Time-series-prediction-for-pollution-data/mlruns/273469853540485859/88eb0aefb4224b21a1cb61e32412a1cb/artifacts
start_time,2025-07-17 13:24:54.584000+00:00
end_time,2025-07-17 13:25:14.421000+00:00
metrics.recall_macro_t5,0.1963996399639964
metrics.f1_macro_t6,0.16102889358703312
metrics.recall_macro_t6,0.2001212121212121
metrics.accuracy_t2,0.5568181818181818
metrics.accuracy_t5,0.5284090909090909
metrics.f1_macro_t3,0.15461731251204935
metrics.accuracy_t6,0.5454545454545454
metrics.f1_macro_t2,0.18453792431378918
metrics.f1_macro_t1,0.16102889358703312
metrics.accuracy_t3,0.5511363636363636
metrics.accuracy_t1,0.5454545454545454
metrics.recall_macro_t4,0.1784313725490196
metrics.recall_macro_t3,0.1924683730508973
metrics.accuracy_t4,0.5170454545454546
metrics.recall_macro_t1,0.19116883116883118
metrics.f1_macro_t5,0.16360723277637904
metrics.f1_macro_t4,0.1368421052631579
metrics.recall_macro_t2,0.20914918414918415
metrics.rmse_t5,
metrics.rmse_t4,
metrics.r2_t2,
metrics.r2_t3,
metrics.r2_t6,
metrics.rmse_t3,
metrics.rmse_t1,
metrics.r2_t4,
metrics.rmse_t2,
metrics.r2_t5,
metrics.r2_t1,
metrics.rmse_t6,
params.max_depth,4
params.learning_rate,0.1
params.n_estimators,300
tags.mlflow.source.name,/workspaces/Time-series-prediction-for-pollution-data/.venv/lib/python3.12/site-packages/ipykernel_launcher.py
tags.mlflow.runName,xgb_est300_depth4_lr0.1
tags.mlflow.user,codespace
tags.mlflow.source.type,LOCAL
